epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,9612.15,0.36009,0.00339,0.00066,0.21008,0.83194,0.98559,0.96187,0.98279,0.93229,0.99649,0.97405,0.99244,0.99218,0.37087,0.02586,0.00029,0.27985,0.73529,0.00381899,0.00381899,0.00381899
60,9774.04,0.35305,0.00351,0.00012,0.20473,0.83493,0.98541,0.96217,0.9828,0.93229,0.99678,0.97381,0.99234,0.99206,0.37076,0.02595,0.0003,0.2797,0.7353,0.00366899,0.00366899,0.00366899
61,9935.1,0.35207,0.00335,0.0002,0.2093,0.83295,0.98589,0.9612,0.9829,0.93252,0.99718,0.97405,0.99233,0.99208,0.37052,0.02604,0.00029,0.27899,0.73525,0.00352037,0.00352037,0.00352037
62,10096.7,0.34381,0.00396,0.00044,0.20282,0.83424,0.98584,0.96193,0.98288,0.93235,0.99677,0.97402,0.99227,0.99204,0.36951,0.02632,0.00031,0.27676,0.73492,0.00337325,0.00337325,0.00337325
63,10259.8,0.34192,0.00385,0.00046,0.20301,0.83062,0.98588,0.96193,0.98284,0.9324,0.99727,0.97374,0.99224,0.99199,0.36896,0.02654,0.00032,0.27497,0.73481,0.00322778,0.00322778,0.00322778
64,10423.5,0.3458,0.00351,0.00022,0.20743,0.83182,0.98656,0.96131,0.98279,0.93243,0.99776,0.97325,0.99222,0.99197,0.36917,0.02637,0.00031,0.27481,0.73475,0.00308412,0.00308412,0.00308412
65,10585,0.3362,0.00345,0.00094,0.19623,0.83109,0.98681,0.9614,0.98276,0.93255,0.99776,0.97303,0.99217,0.99194,0.37051,0.02612,0.00032,0.27353,0.73548,0.00294239,0.00294239,0.00294239
66,10746.1,0.33099,0.0034,0.00068,0.19285,0.82575,0.98656,0.96126,0.98268,0.93254,0.99752,0.97367,0.9922,0.99195,0.37007,0.02605,0.00031,0.27166,0.73589,0.00280275,0.00280275,0.00280275
67,10906.5,0.33016,0.00355,0.00069,0.19093,0.82745,0.98681,0.96114,0.98265,0.93265,0.99732,0.97381,0.99217,0.99193,0.36962,0.02549,0.00031,0.27136,0.73573,0.00266532,0.00266532,0.00266532
68,11068.2,0.33392,0.00338,0.00078,0.19108,0.82987,0.98658,0.96096,0.98259,0.93257,0.99711,0.97381,0.99215,0.99193,0.36978,0.02588,0.00031,0.27121,0.73612,0.00253024,0.00253024,0.00253024
69,11229.6,0.32542,0.00322,0.00016,0.1873,0.82995,0.98677,0.96072,0.98261,0.93276,0.99727,0.97379,0.99213,0.9919,0.37,0.02612,0.00031,0.27177,0.73626,0.00239766,0.00239766,0.00239766
70,11391.2,0.32229,0.00319,0.00091,0.1874,0.83066,0.98655,0.96053,0.98266,0.93262,0.99727,0.97377,0.99214,0.99191,0.3698,0.02567,0.00031,0.27164,0.73659,0.00226769,0.00226769,0.00226769
71,11552.6,0.31613,0.00315,0.00011,0.18497,0.8231,0.98559,0.96199,0.9826,0.93248,0.99684,0.97405,0.99207,0.99187,0.36457,0.02553,0.00031,0.26252,0.73388,0.00214046,0.00214046,0.00214046
72,11715.2,0.31925,0.00283,0.00017,0.18658,0.82126,0.98584,0.96239,0.98264,0.93296,0.99702,0.97427,0.99204,0.99185,0.36329,0.02558,0.0003,0.26063,0.73383,0.00201611,0.00201611,0.00201611
73,11875.6,0.31784,0.00267,0.00017,0.18234,0.82354,0.9856,0.96282,0.9827,0.93334,0.99698,0.97454,0.99201,0.9918,0.36255,0.02559,0.0003,0.26119,0.73337,0.00189475,0.00189475,0.00189475
74,12039.8,0.30944,0.00284,0.00029,0.17902,0.81772,0.98554,0.9629,0.98279,0.93363,0.99667,0.97454,0.99194,0.99175,0.36285,0.02586,0.00033,0.26111,0.7334,0.00177651,0.00177651,0.00177651
75,12202.5,0.30968,0.00267,0.00016,0.17603,0.82006,0.98486,0.96251,0.98303,0.9339,0.99554,0.97513,0.9919,0.99171,0.36261,0.02631,0.00036,0.26051,0.73314,0.00166149,0.00166149,0.00166149
76,12363.9,0.3087,0.00271,0.00054,0.17365,0.81723,0.98458,0.96145,0.98301,0.93368,0.99514,0.97527,0.99191,0.9917,0.36107,0.02642,0.00036,0.25613,0.73299,0.00154982,0.00154982,0.00154982
77,12523.3,0.30904,0.00252,9e-05,0.17228,0.82289,0.98509,0.96137,0.98302,0.93378,0.99529,0.97502,0.99194,0.99173,0.36384,0.02611,0.00035,0.2603,0.73527,0.00144161,0.00144161,0.00144161
