epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,6375.2,0.33921,0.00372,2e-05,0.19264,0.82705,0.97865,0.96681,0.98391,0.93305,0.99215,0.9806,0.99045,0.99008,0.36313,0.008,2e-05,0.24605,0.78329,0.000551584,0.000551584,0.000551584
49,6507.21,0.33591,0.00366,1e-05,0.19109,0.82408,0.97865,0.96704,0.98376,0.93272,0.99215,0.98037,0.99049,0.99012,0.36327,0.00801,2e-05,0.24481,0.78294,0.000536081,0.000536081,0.000536081
50,6639.11,0.33446,0.00352,0.0001,0.18904,0.82401,0.97936,0.96659,0.98371,0.93284,0.99287,0.97988,0.99042,0.99015,0.36348,0.00797,2e-05,0.24361,0.78413,0.000520548,0.000520548,0.000520548
51,6770.42,0.33117,0.00362,1e-05,0.18693,0.82309,0.97875,0.96726,0.98363,0.93248,0.99274,0.97987,0.99057,0.99019,0.36425,0.00794,2e-05,0.2435,0.78482,0.000505,0.000505,0.000505
52,6902.56,0.32851,0.0036,0.00033,0.18602,0.82285,0.97865,0.96723,0.98356,0.93284,0.99244,0.97987,0.99047,0.9902,0.36415,0.00791,2e-05,0.24272,0.78499,0.000489452,0.000489452,0.000489452
53,7034.54,0.32834,0.00354,0.00018,0.18451,0.82185,0.97841,0.96699,0.9838,0.9331,0.99238,0.97987,0.99049,0.99022,0.36408,0.00793,2e-05,0.24248,0.78463,0.000473919,0.000473919,0.000473919
54,7165.16,0.32264,0.00346,0.0001,0.18159,0.82039,0.97853,0.96678,0.98395,0.93368,0.99219,0.97987,0.99051,0.99024,0.36308,0.00795,2e-05,0.24305,0.78429,0.000458416,0.000458416,0.000458416
55,7296.65,0.32412,0.00333,0.0002,0.18175,0.82066,0.97845,0.96678,0.98409,0.93308,0.99195,0.97939,0.9905,0.99022,0.36261,0.00804,2e-05,0.24384,0.78373,0.00044296,0.00044296,0.00044296
56,7427.39,0.31903,0.00338,0.00146,0.17927,0.81724,0.97731,0.96726,0.98406,0.933,0.9919,0.97954,0.99052,0.99023,0.36286,0.00802,2e-05,0.24365,0.78375,0.000427565,0.000427565,0.000427565
57,7559.96,0.32079,0.00332,0.00039,0.17811,0.81902,0.97675,0.96775,0.98406,0.93325,0.99169,0.97963,0.99055,0.99025,0.36211,0.00799,2e-05,0.24166,0.78233,0.000412246,0.000412246,0.000412246
